Phase,Blue,Red,Score,Winner,Patch,BB1,RB1,BB2,RB2,BB3,RB3,BP1,RP1-2,BP2-3,RP3,RB4,BB4,RB5,BB5,RP4,BP4-5,RP5,BR1,BR2,BR3,BR4,BR5,RR1,RR2,RR3,RR4,RR5
Week 9,LOUD,FURIA,1 - 0,1,12.14,Vex,Poppy,Gwen,Wukong,Viego,Taliyah,Zeri,"Olaf, Trundle","Ahri, Lee Sin",Sivir,Jax,Lissandra,Alistar,Sylas,LeBlanc,"Yuumi, Gnar",Lulu,Bot,Mid,Jungle,Support,Top,Top,Jungle,Bot,Mid,Support
Week 9,Liberty,Rensga Esports,1 - 0,1,12.14,Yuumi,Ahri,Poppy,Wukong,Zeri,Kalista,Taliyah,"Draven, Trundle","Viego, Gwen",Gangplank,Miss Fortune,Renata Glasc,Tahm Kench,Viktor,Ryze,"Senna, Nautilus",Leona,Mid,Jungle,Top,Bot,Support,Bot,Jungle,Top,Mid,Support
Week 9,INTZ,RED Canids,0 - 1,2,12.14,Nilah,Sylas,Taliyah,Azir,Trundle,Renata Glasc,Poppy,"Gwen, Wukong","Jax, Kalista",Alistar,Nautilus,Draven,Sett,Samira,Aphelios,"Vex, Taric",Viktor,Jungle,Top,Bot,Mid,Support,Top,Jungle,Support,Bot,Mid
Week 9,Flamengo Los Grandes,paiN Gaming,1 - 0,1,12.14,Gwen,Sylas,Gnar,Kalista,Ahri,Pantheon,Taliyah,"Azir, Wukong","Karthus, Olaf",Sivir,Lucian,Fiora,Alistar,Yuumi,Akali,"Tristana, Leona",Nautilus,Mid,Jungle,Top,Bot,Support,Mid,Jungle,Bot,Top,Support
Week 9,KaBuM! e-Sports,Miners,1 - 0,1,12.14,Vex,Kalista,Azir,Taliyah,Trundle,Poppy,Wukong,"Yuumi, Viego","Zeri, Lulu",Sivir,Ahri,Gwen,Olaf,Sejuani,Sylas,"Renekton, Rumble",Jarvan IV,Jungle,Bot,Support,Mid,Top,Support,Jungle,Bot,Mid,Top
Week 9,paiN Gaming,INTZ,1 - 0,1,12.14,Sylas,Nautilus,Taliyah,Wukong,Yuumi,Poppy,Kalista,"Renata Glasc, Trundle","Amumu, Azir",Aphelios,Gnar,Ahri,Jax,Akali,Gwen,"Kennen, Lee Sin",LeBlanc,Bot,Support,Mid,Top,Jungle,Support,Jungle,Bot,Top,Mid
Week 9,Miners,LOUD,0 - 1,2,12.14,Ahri,Vex,Kalista,Azir,Nilah,Sylas,Yuumi,"Zeri, Wukong","Sivir, Gwen",Rakan,Xin Zhao,Jax,Swain,Olaf,Gragas,"LeBlanc, Poppy",Taliyah,Support,Bot,Top,Mid,Jungle,Bot,Jungle,Support,Top,Mid
Week 9,Rensga Esports,KaBuM! e-Sports,0 - 1,2,12.14,Wukong,Lee Sin,Renata Glasc,Gragas,Gangplank,Taliyah,Pantheon,"Gwen, Kalista","Sion, Nautilus",Trundle,Draven,Braum,Aphelios,Leona,Alistar,"Tristana, Viktor",Azir,Jungle,Top,Support,Bot,Mid,Top,Bot,Jungle,Support,Mid
Week 9,RED Canids,Liberty,1 - 0,1,12.14,Kalista,Yuumi,Sivir,Poppy,Taliyah,Zeri,Nilah,"Senna, Wukong","Gwen, Vex",Tahm Kench,Rell,Jax,Taric,Viktor,Sylas,"Trundle, Nautilus",Graves,Bot,Top,Mid,Jungle,Support,Bot,Jungle,Support,Mid,Top
Week 9,FURIA,Flamengo Los Grandes,1 - 0,1,12.14,Rumble,Gwen,Kalista,Olaf,Sylas,Vex,Viego,"Aphelios, Taliyah","Ahri, Jinx",Pantheon,Aatrox,Ornn,Gnar,Sejuani,Gragas,"Yone, Tahm Kench",Rell,Jungle,Mid,Bot,Top,Support,Bot,Mid,Jungle,Top,Support
